concept_set_id,domain,code_system,code,match_type,include,description,source_authority,source_version,effective_start,effective_end,notes
obesity,diagnosis,ICD10CM,E66,prefix,true,Obesity diagnosis family,ICD-10-CM,2026,,,Investigator review required before clinical use
type_2_diabetes,diagnosis,ICD10CM,E11,prefix,true,Type 2 diabetes mellitus,ICD-10-CM,2026,,,Investigator review required before clinical use
prediabetes,diagnosis,ICD10CM,R73.03,exact,true,Prediabetes,ICD-10-CM,2026,,,Investigator review required before clinical use
obstructive_sleep_apnea,diagnosis,ICD10CM,G47.33,exact,true,Obstructive sleep apnea,ICD-10-CM,2026,,,Code-only evidence without AHI
prior_mi,diagnosis,ICD10CM,I21,prefix,true,Acute myocardial infarction family,ICD-10-CM,2026,,,Investigator review required
prior_mi,diagnosis,ICD10CM,I25.2,exact,true,Old myocardial infarction,ICD-10-CM,2026,,,Investigator review required
ischemic_stroke,diagnosis,ICD10CM,I63,prefix,true,Cerebral infarction family,ICD-10-CM,2026,,,Investigator review required
ischemic_stroke,diagnosis,ICD10CM,Z86.73,exact,true,Personal history of TIA or cerebral infarction,ICD-10-CM,2026,,,History code requires review
pad,diagnosis,ICD10CM,I70.2,prefix,true,Atherosclerosis of native extremity arteries,ICD-10-CM,2026,,,Investigator review required
symptomatic_pad,diagnosis,ICD10CM,I70.21,prefix,true,Extremity atherosclerosis with claudication,ICD-10-CM,2026,,,Investigator review required
symptomatic_pad,diagnosis,ICD10CM,I70.22,prefix,true,Extremity atherosclerosis with rest pain,ICD-10-CM,2026,,,Investigator review required
ckd_any,diagnosis,ICD10CM,N18,prefix,true,Chronic kidney disease family,ICD-10-CM,2026,,,Investigator review required
ckd_stage_3a_plus,diagnosis,ICD10CM,N18.3,prefix,true,Chronic kidney disease stage 3 family,ICD-10-CM,2026,,,Includes stage 3a and 3b
ckd_stage_3a_plus,diagnosis,ICD10CM,N18.4,prefix,true,Chronic kidney disease stage 4,ICD-10-CM,2026,,,Investigator review required
ckd_stage_3a_plus,diagnosis,ICD10CM,N18.5,prefix,true,Chronic kidney disease stage 5,ICD-10-CM,2026,,,Investigator review required
eskd,diagnosis,ICD10CM,N18.6,exact,true,End stage kidney disease,ICD-10-CM,2026,,,Investigator review required
