concept_set_id,domain,code_system,code,match_type,include,description,source_authority,source_version,effective_start,effective_end,notes
arterial_pco2,lab,LOINC,2019-8,exact,true,Arterial blood carbon dioxide partial pressure,LOINC,2026-07-10,,,Primary PaCO2 seed; investigator terminology review required
arterial_pco2,lab,LOINC,32771-8,exact,true,Temperature-adjusted arterial carbon dioxide partial pressure,LOINC,2026-07-10,,,Primary PaCO2 seed; investigator terminology review required
arterial_total_co2,lab,LOINC,2026-3,exact,true,Arterial total carbon dioxide,LOINC,2026-07-10,,,Never use as PaCO2
venous_pco2,lab,LOINC,2021-4,exact,true,Venous blood carbon dioxide partial pressure,LOINC,2026-07-10,,,Sensitivity cohort only
unspecified_blood_pco2,lab,LOINC,11557-6,exact,true,Unspecified-blood carbon dioxide partial pressure,LOINC,2026-07-10,,,Do not infer arterial specimen
arterial_ph,lab,LOINC,2744-1,exact,true,Arterial blood pH,LOINC,2026-07-10,,,PaCO2 pairing seed
venous_ph,lab,LOINC,2746-6,exact,true,Venous blood pH,LOINC,2026-07-10,,,Sensitivity pairing seed
arterial_hco3,lab,LOINC,1960-4,exact,true,Arterial blood bicarbonate,LOINC,2026-07-14,,,Supplemental arterial gas seed; investigator terminology review required
arterial_po2,lab,LOINC,2703-7,exact,true,Arterial blood oxygen partial pressure,LOINC,2026-07-14,,,Supplemental arterial gas seed; investigator terminology review required
arterial_po2,lab,LOINC,19255-9,exact,true,Temperature-adjusted arterial oxygen partial pressure,LOINC,2026-07-14,,,Supplemental arterial gas seed; investigator terminology review required
arterial_sao2,lab,LOINC,2708-6,exact,true,Arterial blood oxygen saturation,LOINC,2026-07-14,,,Supplemental arterial gas seed; investigator terminology review required
arterial_sao2,lab,LOINC,51733-4,exact,true,Calculated arterial blood oxygen saturation,LOINC,2026-07-14,,,Supplemental arterial gas seed; investigator terminology review required
bmi,vital,LOINC,39156-5,exact,true,Body mass index,LOINC,2026-07-10,,,BMI hierarchy seed
weight,vital,LOINC,29463-7,exact,true,Body weight,LOINC,2026-07-10,,,Anthropometric seed
height,vital,LOINC,8302-2,exact,true,Body height,LOINC,2026-07-10,,,Anthropometric seed
systolic_bp,vital,LOINC,8480-6,exact,true,Systolic blood pressure,LOINC,2026-07-10,,,Hypertension component seed
diastolic_bp,vital,LOINC,8462-4,exact,true,Diastolic blood pressure,LOINC,2026-07-10,,,Hypertension component seed
hba1c,lab,LOINC,4548-4,exact,true,Hemoglobin A1c percent,LOINC,2.82,,,NGSP percent result; investigator review required
hba1c,lab,LOINC,17856-6,exact,true,Hemoglobin A1c by HPLC,LOINC,2.82,,,Percent result; investigator review required
egfr,lab,LOINC,77147-7,exact,true,Creatinine-based estimated GFR,LOINC,2.82,,,Preferred MDRD source term
egfr,lab,LOINC,33914-3,exact,true,Creatinine-based estimated GFR MDRD legacy,LOINC,2.82,,,Discouraged LOINC retained for historical exports
egfr,lab,LOINC,48642-3,exact,true,Estimated GFR non-Black MDRD,LOINC,2.82,,,Historical race-specific source retained
egfr,lab,LOINC,48643-1,exact,true,Estimated GFR Black MDRD,LOINC,2.82,,,Historical race-specific source retained
egfr,lab,LOINC,50210-4,exact,true,Cystatin-based estimated GFR,LOINC,2.82,,,Investigator review required
uacr,lab,LOINC,9318-7,exact,true,Urine albumin to creatinine mass ratio,LOINC,2.82,,,Canonical unit mg/g
lvef,lab,LOINC,10230-1,exact,true,Left ventricular ejection fraction,LOINC,2.82,,,Canonical unit percent
nt_probnp,lab,LOINC,33762-6,exact,true,NT-proBNP mass concentration,LOINC,2.82,,,Canonical unit pg/mL
bnp,lab,LOINC,42637-9,exact,true,B-type natriuretic peptide,LOINC,2.82,,,Investigator review required
ahi,lab,LOINC,69990-9,exact,true,Apnea hypopnea index,LOINC,2.82,,,Investigator terminology review required
fasting_glucose,lab,LOINC,1558-6,exact,true,Fasting glucose,LOINC,2.82,,,Canonical unit mg/dL
random_glucose,lab,LOINC,2345-7,exact,true,Glucose in serum or plasma,LOINC,2.82,,,Fasting state not assumed
ast,lab,LOINC,1920-8,exact,true,Aspartate aminotransferase,LOINC,2.82,,,FIB-4 input
alt,lab,LOINC,1742-6,exact,true,Alanine aminotransferase,LOINC,2.82,,,FIB-4 input
platelets,lab,LOINC,777-3,exact,true,Platelet count,LOINC,2.82,,,FIB-4 input
albumin,lab,LOINC,1751-7,exact,true,Serum albumin,LOINC,2.82,,,Liver phenotype input
inr,lab,LOINC,6301-6,exact,true,International normalized ratio,LOINC,2.82,,,Liver phenotype input
bilirubin,lab,LOINC,1975-2,exact,true,Total bilirubin,LOINC,2.82,,,Liver phenotype input
fibrosis_stage,lab,LOINC,48794-2,exact,true,Fibrosis stage,LOINC,2.82,,,Ordinal F0-F4 result; investigator review required
